,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"MT. MOON
ARCHER",,Glimmet,,,,,Houndour,,,,,Mightyena,,,,,,,,,,,,,,,,,,
,,,,Psychic,,,,,Dual Wingbeat,,,,,Play Rough,,,,,Knock Off,,,,,,,,,,,,,
,,,,Knock Off,,,,,Aqua Tail,,,,,Temper Flare,,,,,Sucker Punch,,,,,,,,,,,,,
,,,,Shadow Ball,,,,,Iron Head,,,,,Psychic Fangs,,,,,Ice Punch,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,,,,,,,,,
,,,,HP,85,,252,,HP,80,,,,HP,100,,252,,HP,93,,,,,,,,,,,,
,,,,ATK,73,,,,ATK,105,,252,,ATK,120,,252,,ATK,90,,252,,,,,,,,,,
,,,,DEF,70,,252,,DEF,65,,4,,DEF,75,,4,,DEF,101,,4,,,,,,,,,,
,,,,SPA,73,,,,SPA,60,,,,SPA,60,,,,SPA,60,,,,,,,,,,,,
,,,,SPD,115,,4,,SPD,75,,,,SPD,60,,,,SPD,81,,,,,,,,,,,,
,,IF YOU'RE,,SPE,67,,,,SPE,130,,252,,SPE,45,,,,SPE,95,,252,,,,,,,,,,
,,LEVEL 47 ->>,,SPEED STAT:,,,77,,SPEED STAT:,,,176,,SPEED STAT:,,,57,,SPEED STAT:,,,139,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BATTLE EFFECT: DOUBLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"ROCKET HIDE.
LEFT GUARD",,Weezing-G,,,,,Slaking,,,,,Crobat,,,,,Dipplin,,,,,,,,,,,,,
,,,,Highest Lv -4,,,,,Highest Lv -4,,,,,Highest Lv -4,,,,,Highest Lv -4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bold,,,,,Jolly,,,,,Timid,,,,,Bold,,,,,,,,,,,,,
,,,,Neutralizing Gas,,,,,Truant,,,,,Sniper,,,,,Sticky Hold,,,,,,,,,,,,,
,,,,Shuca Berry,,,,,Lum Berry,,,,,Sitrus Berry,,,,,Eviolite,,,,,,,,,,,,,
,,,,Sludge Bomb,,,,,Body Slam,,,,,Air Slash,,,,,Dragon Pulse,,,,,,,,,,,,,
,,,,Strange Steam,,,,,Fire Punch,,,,,Sludge Bomb,,,,,Giga Drain,,,,,,,,,,,,,
,,,,Flamethrower,,,,,Knock Off,,,,,Giga Drain,,,,,Pollen Puff,,,,,,,,,,,,,
,,,,Will-O-Wisp,,,,,Ice Punch,,,,,Shadow Ball,,,,,Recover,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,,,,,,,,,
,,,,HP,65,,252,,HP,150,,,,HP,85,,,,HP,80,,252,,,,,,,,,,
,,,,ATK,90,,,,ATK,160,,252,,ATK,90,,,,ATK,80,,,,,,,,,,,,
,,,,DEF,120,,252,,DEF,100,,4,,DEF,80,,4,,DEF,110,,40,,,,,,,,,,
,,,,SPA,85,,4,,SPA,95,,,,SPA,90,,252,,SPA,95,,216,,,,,,,,,,
,,,,SPD,70,,,,SPD,65,,,,SPD,80,,,,SPD,80,,,,,,,,,,,,
,,IF YOU'RE,,SPE,60,,,,SPE,100,,252,,SPE,130,,252,,SPE,40,,,,,,,,,,,,
,,LEVEL 47 ->>,,SPEED STAT:,,,69,,SPEED STAT:,,,144,,SPEED STAT:,,,172,,SPEED STAT:,,,52,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BATTLE EFFECT: DOUBLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"ROCKET HIDE.
RIGHT GUARD",,Talonflame,,,,,Shiftry,,,,,Toxicroak,,,,,Eelektross,,,,,,,,,,,,,
,,,,Highest Lv -3,,,,,Highest Lv -4,,,,,Highest Lv -4,,,,,Highest Lv -3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Timid,,,,,Jolly,,,,,Jolly,,,,,Modest,,,,,,,,,,,,,
,,,,Gale Wings,,,,,Wind Rider,,,,,Dry Skin,,,,,Levitate,,,,,,,,,,,,,
,,,,Wide Lens,,,,,Focus Sash,,,,,Lum Berry,,,,,Expert Belt,,,,,,,,,,,,,
,,,,Tailwind,,,,,Cease. Edge,,,,,Poison Jab,,,,,Thunderbolt,,,,,,,,,,,,,
,,,,Hurricane,,,,,Leaf Blade,,,,,Drain Punch,,,,,Giga Drain,,,,,,,,,,,,,
,,,,Fire Blast,,,,,Low Kick,,,,,Ice Punch,,,,,Flamethrower,,,,,,,,,,,,,
,,,,Will-O-Wisp,,,,,X-Scissor,,,,,Knock Off,,,,,Dragon Pulse,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,,,,,,,,,
,,,,HP,78,,,,HP,90,,,,HP,83,,,,HP,85,,252,,,,,,,,,,
,,,,ATK,91,,,,ATK,120,,252,,ATK,106,,252,,ATK,105,,,,,,,,,,,,
,,,,DEF,71,,4,,DEF,60,,4,,DEF,65,,4,,DEF,80,,,,,,,,,,,,
,,,,SPA,74,,252,,SPA,110,,,,SPA,86,,,,SPA,115,,252,,,,,,,,,,
,,,,SPD,69,,,,SPD,60,,,,SPD,65,,,,SPD,80,,,,,,,,,,,,
,,IF YOU'RE,,SPE,126,,252,,SPE,80,,252,,SPE,85,,252,,SPE,50,,4,,,,,,,,,,
,,LEVEL 47 ->>,,SPEED STAT:,,,172,,SPEED STAT:,,,125,,SPEED STAT:,,,129,,SPEED STAT:,,,63,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"ROCKET HIDE.
GIOVANNI",,Nidoking,,,,,Honchkrow,,,,,Infernape,,,,,Kangaskhan-Mega,,,,,Orthworm,,,,,Veluza,,,
,,,,45,,,,,45,,,,,46,,,,,46,,,,,47,,,,,46,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Timid,,,,,Jolly,,,,,Jolly,,,,,Jolly,,,,,Impish,,,,,Jolly,,,
,,,,Sheer Force,,,,,Super Luck,,,,,Blaze,,,,,"Inner Focus
Parental Bond",,,,,Earth Eater,,,,,Sharpness,,,
,,,,Life Orb,,,,,Scope Lens,,,,,Focus Sash,,,,,Kangaskhanite,,,,,Sitrus Berry,,,,,Sitrus Berry,,,
,,,,Earth Power,,,,,Night Slash,,,,,Swords Dance,,,,,Fake Out,,,,,Shed Tail,,,,,Fillet Away,,,
,,,,Ice Beam,,,,,Sucker Punch,,,,,Pyro Ball,,,,,Body Slam,,,,,Iron Head,,,,,Aqua Cutter,,,
,,,,Sludge Bomb,,,,,Drill Peck,,,,,Close Combat,,,,,Crunch,,,,,Earthquake,,,,,Psycho Cut,,,
,,,,Thunderbolt,,,,,Heat Wave,,,,,Thunder Punch,,,,,Pow-Up Punch,,,,,Body Press,,,,,Aqua Jet,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs
,,,,HP,81,,,,HP,100,,,,HP,76,,,,HP,105,,,,HP,70,,252,,HP,95,,
,,,,ATK,102,,,,ATK,125,,252,,ATK,110,,252,,ATK,125,,252,,ATK,85,,,,ATK,102,,252
,,,,DEF,77,,4,,DEF,52,,4,,DEF,71,,4,,DEF,100,,4,,DEF,145,,252,,DEF,83,,4
,,,,SPA,85,,252,,SPA,105,,,,SPA,110,,,,SPA,60,,,,SPA,60,,,,SPA,78,,
,,,,SPD,75,,,,SPD,52,,,,SPD,71,,,,SPD,100,,,,SPD,55,,4,,SPD,75,,
,,,,SPE,85,,252,,SPE,96,,252,,SPE,113,,252,,SPE,100,,252,,SPE,65,,,,SPE,70,,252
,,,,SPEED STAT:,,,135,,SPEED STAT:,,,146,,SPEED STAT:,,,167,,SPEED STAT:,,,154,,SPEED STAT:,,,80,,SPEED STAT:,,,123
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BATTLE EFFECT: DOUBLES WITH PARTNER BRENDAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"SILPH CO.
ARIANA
&
ARCHER",,Incineroar,,,,,Primarina,,,,,Mawile-Mega,,,,,Gothitelle,,,,,Gholdengo,,,,,Houndoom-Mega,,,
,,,,54,,,,,55,,,,,55,,,,,54,,,,,55,,,,,55,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Adamant,,,,,Modest,,,,,Adamant,,,,,Modest,,,,,Timid,,,,,Naive,,,
,,,,Intimidate,,,,,Liquid Voice,,,,,"Intimidate
Huge Power",,,,,Competitive,,,,,Good As Gold,,,,,"Early Bird
Dark Aura",,,
,,,,Sitrus Berry,,,,,Throat Spray,,,,,Mawilite,,,,,Colbur Berry,,,,,Sitrus Berry,,,,,Houndoominite,,,
,,,,Fake Out,,,,,Hyper Voice,,,,,Play Rough,,,,,Psychic,,,,,Shadow Ball,,,,,Heat Wave,,,
,,,,Parting Shot,,,,,Scald,,,,,Sucker Punch,,,,,Shadow Ball,,,,,Make It Rain,,,,,Dark Pulse,,,
,,,,Darkest Lariat,,,,,Psychic,,,,,Iron Head,,,,,HP Fighting,,,,,Focus Blast,,,,,Scorch. Sands,,,
,,,,Fire Punch,,,,,Dazz. Gleam,,,,,Thunder Punch,,,,,Thunder Wave,,,,,Recover,,,,,Sucker Punch,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs
,,,,HP,95,,252,,HP,80,,6,,HP,50,,252,,HP,70,,252,,HP,87,,,,HP,75,,
,,,,ATK,115,,252,,ATK,74,,,,ATK,105,,252,,ATK,55,,,,ATK,60,,,,ATK,110,,
,,,,DEF,90,,,,DEF,74,,,,DEF,125,,,,DEF,95,,4,,DEF,95,,4,,DEF,90,,4
,,,,SPA,80,,,,SPA,126,,252,,SPA,55,,,,SPA,95,,252,,SPA,133,,252,,SPA,140,,252
,,,,SPD,90,,,,SPD,116,,,,SPD,95,,,,SPD,110,,,,SPD,91,,,,SPD,90,,
,,,,SPE,60,,6,,SPE,60,,252,,SPE,50,,6,,SPE,65,,,,SPE,84,,252,,SPE,115,,252
,,,,SPEED STAT:,,,87,,SPEED STAT:,,,122,,SPEED STAT:,,,77,,SPEED STAT:,,,91,,SPEED STAT:,,,163,,SPEED STAT:,,,201
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"PARTNER
BRENDAN",,Masquerain,,,,,Exploud,,,,,Sceptile-Mega,,,,,,,,,,,,,,,,,,
,,,,55,,,,,55,,,,,55,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Modest,,,,,Timid,,,,,Timid,,,,,,,,,,,,,,,,,,
,,,,Intimidate,,,,,Punk Rock,,,,,"Unburden
Technician",,,,,,,,,,,,,,,,,,
,,,,Iapapa Berry,,,,,Silk Scarf,,,,,Sceptilite,,,,,,,,,,,,,,,,,,
,,,,Bug Buzz,,,,,Flamethrower ,,,,,Mega Drain,,,,,,,,,,,,,,,,,,
,,,,Scald,,,,,Surf,,,,,Dragon Breath,,,,,,,,,,,,,,,,,,
,,,,Giga Drain,,,,,Focus Blast,,,,,Focus Blast,,,,,,,,,,,,,,,,,,
,,,,Stun Spore,,,,,Hyper Voice,,,,,HP Fire,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,,,,,,,,,,,,,,
,,,,HP,80,,252,,HP,104,,6,,HP,70,,,,,,,,,,,,,,,,,
,,,,ATK,60,,,,ATK,81,,,,ATK,135,,,,,,,,,,,,,,,,,
,,,,DEF,62,,,,DEF,63,,,,DEF,75,,,,,,,,,,,,,,,,,
,,,,SPA,100,,252,,SPA,91,,252,,SPA,110,,252,,,,,,,,,,,,,,,
,,,,SPD,82,,,,SPD,73,,,,SPD,85,,4,,,,,,,,,,,,,,,
,,,,SPE,80,,6,,SPE,73,,252,,SPE,145,,252,,,,,,,,,,,,,,,
,,,,SPEED STAT:,,,110,,SPEED STAT:,,,150,,SPEED STAT:,,,237,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"SILPH CO.
GIOVANNI",,Hippowdon,,,,,Excadrill,,,,,Kangaskhan-Mega,,,,,Garganacl,,,,,Garchomp,,,,,Torterra,,,
,,,,56,,,,,57,,,,,57,,,,,57,,,,,57,,,,,56,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Adamant,,,,,Adamant,,,,,Jolly,,,,,Impish,,,,,Jolly,,,,,Jolly,,,
,,,,Sand Stream,,,,,Sand Rush,,,,,"Scrappy
Parental Bond ",,,,,Purifying Salt,,,,,Sand Veil,,,,,Rock Head,,,
,,,,Smooth Rock,,,,,Focus Sash,,,,,Kangaskhanite,,,,,Leftovers,,,,,Yache Berry,,,,,White Herb,,,
,,,,Stone Edge,,,,,Earthquake,,,,,Pow-Up Punch,,,,,Protect,,,,,Swords Dance,,,,,Shell Smash,,,
,,,,Earthquake,,,,,Iron Head,,,,,Fake Out,,,,,Body Press,,,,,Earthquake,,,,,Wood Hammer,,,
,,,,Roar,,,,,Rock Slide,,,,,Body Slam,,,,,Salt Cure,,,,,Rock Slide,,,,,Earthquake,,,
,,,,Stealth Rock,,,,,Swords Dance,,,,,Crunch,,,,,Recover,,,,,Scale Shot,,,,,Head Smash,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs
,,,,HP,108,,252,,HP,110,,,,HP,105,,,,HP,100,,252,,HP,108,,,,HP,95,,
,,,,ATK,112,,252,,ATK,135,,252,,ATK,125,,252,,ATK,100,,,,ATK,130,,252,,ATK,109,,252
,,,,DEF,118,,4,,DEF,60,,4,,DEF,100,,4,,DEF,130,,252,,DEF,95,,4,,DEF,105,,
,,,,SPA,68,,,,SPA,50,,,,SPA,60,,,,SPA,45,,,,SPA,80,,,,SPA,75,,
,,,,SPD,72,,,,SPD,65,,,,SPD,100,,,,SPD,90,,4,,SPD,85,,,,SPD,85,,4
,,,,SPE,47,,,,SPE,88,,252,,SPE,100,,252,,SPE,35,,,,SPE,102,,252,,SPE,56,,252
,,,,SPEED STAT:,,,75,,SPEED STAT:,,,158,,SPEED STAT:,,,189,,SPEED STAT:,,,62,,SPEED STAT:,,,191,,SPEED STAT:,,,132
,,,,,,,,,SAND RUSH:,,,316,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"CERULEA. CAVE
ARCHER",,Mamoswine,,,,,Durant,,,,,Mimikyu,,,,,Houndoom-Mega,,,,,,,,,,,,,
,,,,77,,,,,78,,,,,79,,,,,79,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jolly,,,,,Jolly,,,,,Jolly,,,,,Timid,,,,,,,,,,,,,
,,,,Thick Fat,,,,,Hustle,,,,,Disguise,,,,,"Unnerve
Dark Aura",,,,,,,,,,,,,
,,,,Focus Sash,,,,,Life Orb,,,,,Lum Berry,,,,,Houndoominite,,,,,,,,,,,,,
,,,,Earthquake,,,,,Hone Claws,,,,,Play Rough,,,,,Fiery Wrath,,,,,,,,,,,,,
,,,,Ice Shard,,,,,Iron Head,,,,,Swords Dance,,,,,Flamethrower,,,,,,,,,,,,,
,,,,Endeavor,,,,,X-Scissor,,,,,Shadow Claw,,,,,Sucker Punch,,,,,,,,,,,,,
,,,,Icicle Crash,,,,,Superpower,,,,,Shadow Sneak,,,,,Sludge Bomb,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,,,,,,,,,
,,,,HP,110,,6,,HP,58,,6,,HP,55,,6,,HP,75,,6,,,,,,,,,,
,,,,ATK,130,,252,,ATK,109,,252,,ATK,90,,252,,ATK,110,,,,,,,,,,,,
,,,,DEF,80,,,,DEF,112,,,,DEF,80,,,,DEF,90,,,,,,,,,,,,
,,,,SPA,70,,,,SPA,48,,,,SPA,50,,,,SPA,140,,252,,,,,,,,,,
,,,,SPD,60,,,,SPD,48,,,,SPD,105,,,,SPD,90,,,,,,,,,,,,
,,,,SPE,80,,252,,SPE,109,,252,,SPE,96,,252,,SPE,115,,252,,,,,,,,,,
,,,,SPEED STAT:,,,220,,SPEED STAT:,,,272,,SPEED STAT:,,,253,,SPEED STAT:,,,286,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(!) BACK TO BACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"CERULEA. CAVE
ARIANA",,Hatterene,,,,,Rhyperior,,,,,Honchkrow,,,,,Mawile-Mega,,,,,,,,,,,,,
,,,,77,,,,,78,,,,,78,,,,,79,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Modest,,,,,Adamant,,,,,Jolly,,,,,Adamant,,,,,,,,,,,,,
,,,,Magic Bounce,,,,,Solid Rock,,,,,Super Luck,,,,,"Intimidate
Huge Power",,,,,,,,,,,,,
,,,,Sitrus Berry,,,,,Weakness Pol.,,,,,Scope Lens,,,,,Mawilite,,,,,,,,,,,,,
