,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"PEWTER MUSEUM
LEADER
FALKNER",,Rufflet,,,,,Wattrel,,,,,Flittle,,,,,,,,,,,,,,,,,,
,,,,First Impress.,,,,,Drain Punch,,,,,Bug Bite,,,,,Bullet Punch,,,,,,,,,,,,,
,,,,Knock Off,,,,,Mach Punch,,,,,Swords Dance,,,,,U-Turn,,,,,,,,,,,,,
,,,,U-Turn,,,,,Ice Punch,,,,,Rock Smash,,,,,Rock Smash,,,,,,,,,,,,,
,,,,Leech Life,,,,,Thunder Punch,,,,,Aerial Ace,,,,,Aerial Ace,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,,,,,,,,,
,,,,HP,71,,,,HP,55,,,,HP,70,,,,HP,70,,,,,,,,,,,,
,,,,ATK,102,,,,ATK,90,,,,ATK,110,,,,ATK,130,,,,,,,,,,,,
,,,,DEF,78,,,,DEF,50,,,,DEF,80,,,,DEF,100,,,,,,,,,,,,
,,,,SPA,52,,,,SPA,35,,,,SPA,55,,,,SPA,55,,,,,,,,,,,,
,,,,SPD,55,,,,SPD,100,,,,SPD,80,,,,SPD,80,,,,,,,,,,,,
,,IF YOU'RE,,SPE,92,,,,SPE,85,,,,SPE,105,,,,SPE,65,,,,,,,,,,,,
,,LEVEL 27 ->>,,SPEED STAT:,,,63,,SPEED STAT:,,,60,,SPEED STAT:,,,71,,SPEED STAT:,,,45,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(!) POST LT. SURGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BATTLE EFFECT: PERMANENT RAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"ROUTE 25
LEADER
BUGSY",,Kleavor,,,,,Scizor-Mega,,,,,Scyther,,,,,Lokix,,,,,Araquanid,,,,,Vikavolt,,,
,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jolly,,,,,Careful,,,,,Adamant,,,,,Jolly,,,,,Impish,,,,,Modest,,,
,,,,Sharpness,,,,,Technician (Both),,,,,Technician,,,,,Tinted Lens,,,,,Water Bubble,,,,,Levitate,,,
,,,,Focus Sash,,,,,Scizorite,,,,,Eviolite,,,,,Silver Powder,,,,,Leftovers,,,,,Magnet,,,
,,,,Stone Axe,,,,,Bullet Punch,,,,,Swords Dance,,,,,First Impress.,,,,,X-Scissor,,,,,Thunder,,,
,,,,X-Scissor,,,,,Dual Wingbeat,,,,,Dual Wingbeat,,,,,U-Turn,,,,,Liquidation,,,,,Bug Buzz,,,
,,,,U-Turn,,,,,U-Turn,,,,,Bug Bite,,,,,Knock Off,,,,,Protect,,,,,Volt Switch,,,
,,,,Night Slash,,,,,Rock Smash,,,,,Rock Smash,,,,,Sucker Punch,,,,,Toxic,,,,,Energy Ball,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs
,,,,HP,85,,,,HP,70,,252,,HP,70,,,,HP,71,,,,HP,68,,252,,HP,77,,252
,,,,ATK,135,,252,,ATK,150,,252,,ATK,110,,252,,ATK,102,,252,,ATK,70,,4,,ATK,70,,
,,,,DEF,95,,4,,DEF,140,,4,,DEF,80,,4,,DEF,78,,4,,DEF,92,,252,,DEF,90,,4
,,,,SPA,30,,,,SPA,65,,,,SPA,55,,,,SPA,52,,,,SPA,50,,,,SPA,145,,252
,,,,SPD,70,,,,SPD,100,,,,SPD,80,,,,SPD,55,,,,SPD,132,,,,SPD,75,,
,,IF YOU'RE,,SPE,85,,252,,SPE,75,,,,SPE,105,,252,,SPE,92,,252,,SPE,42,,,,SPE,43,,
,,LEVEL 44 ->>,,SPEED STAT:,,,128,,SPEED STAT:,,,81,,SPEED STAT:,,,116,,SPEED STAT:,,,104,,SPEED STAT:,,,53,,SPEED STAT:,,,54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"ROUTE 11
LEADER
WHITNEY",,Tinkaton,,,,,Farigiraf,,,,,Miltank,,,,,Drampa,,,,,Dudunsparce,,,,,,,,
,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jolly,,,,,Modest,,,,,Adamant,,,,,Modest,,,,,Careful,,,,,,,,
,,,,Mold Breaker,,,,,Parental Bond,,,,,Thick Fat,,,,,Sap Sipper,,,,,Serene Grace,,,,,,,,
,,,,Sitrus Berry,,,,,Twisted Spoon,,,,,Chople Berry,,,,,Normal Gem,,,,,Leftovers,,,,,,,,
,,,,Play Rough,,,,,Shadow Ball,,,,,Body Slam,,,,,Dragon Breath,,,,,Body Slam,,,,,,,,
,,,,Giga. Hammer,,,,,Hyper Voice,,,,,Slack Off,,,,,Roost,,,,,Roost,,,,,,,,
,,,,Knock Off,,,,,Psychic,,,,,Zen Headbutt,,,,,Flamethrower,,,,,Bite,,,,,,,,
,,,,Encore,,,,,Dazz. Gleam,,,,,High Horsep.,,,,,Hyper Voice,,,,,Coil,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,,,,
,,,,HP,85,,,,HP,120,,252,,HP,95,,252,,HP,103,,252,,HP,125,,252,,,,,
,,,,ATK,85,,252,,ATK,90,,,,ATK,85,,252,,ATK,50,,,,ATK,100,,,,,,,
,,,,DEF,87,,4,,DEF,70,,4,,DEF,105,,4,,DEF,85,,4,,DEF,80,,4,,,,,
,,,,SPA,70,,,,SPA,110,,,,SPA,40,,,,SPA,135,,,,SPA,85,,,,,,,
,,,,SPD,105,,,,SPD,70,,,,SPD,70,,,,SPD,91,,,,SPD,75,,,,,,,
,,IF YOU'RE,,SPE,94,,252,,SPE,60,,4,,SPE,100,,4,,SPE,36,,4,,SPE,55,,4,,,,,
,,LEVEL 34 ->>,,SPEED STAT:,,,104,,SPEED STAT:,,,53,,SPEED STAT:,,,79,,SPEED STAT:,,,38,,SPEED STAT:,,,50,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"LAVENDER TOWN
LEADER
MORTY",,Mimikyu,,,,,Dusknoir,,,,,Zoroark-H,,,,,Skeledirge,,,,,Gengar-Mega,,,,,Ceruledge,,,
,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jolly,,,,,Adamant,,,,,Timid,,,,,Timid,,,,,Timid,,,,,Jolly,,,
,,,,Disguise,,,,,Hustle,,,,,Illusion,,,,,Unaware,,,,,"Levitate
Shadow Tag",,,,,Sharpness,,,
,,,,Lum Berry,,,,,Reaper Cloth,,,,,Colbur Berry,,,,,Leftovers,,,,,Gengarite,,,,,Focus Sash,,,
,,,,Play Rough,,,,,Shadow Punch,,,,,Hyper Voice,,,,,Torch Song,,,,,Sludge Wave,,,,,Bitter Blade,,,
,,,,Shadow Claw,,,,,Shadow Sneak,,,,,Shadow Ball,,,,,Will-O-Wisp,,,,,Shadow Ball,,,,,Shadow Sneak,,,
,,,,Shadow Sneak,,,,,Dynam. Punch,,,,,Flamethrower,,,,,Hex,,,,,Focus Blast,,,,,Close Combat,,,
,,,,Swords Dance,,,,,Will-O-Wisp,,,,,Nasty Plot,,,,,Slack Off,,,,,Nasty Plot,,,,,Swords Dance,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs
,,,,HP,55,,,,HP,45,,252,,HP,55,,,,HP,104,,248,,HP,60,,,,HP,75,,
,,,,ATK,90,,252,,ATK,100,,252,,ATK,100,,,,ATK,75,,,,ATK,65,,,,ATK,125,,252
,,,,DEF,80,,4,,DEF,135,,4,,DEF,60,,4,,DEF,100,,,,DEF,80,,4,,DEF,80,,4
,,,,SPA,50,,,,SPA,65,,,,SPA,125,,252,,SPA,110,,8,,SPA,170,,252,,SPA,60,,
,,,,SPD,105,,,,SPD,135,,,,SPD,60,,,,SPD,75,,252,,SPD,95,,,,SPD,100,,
,,IF YOU'RE,,SPE,96,,252,,SPE,45,,,,SPE,110,,252,,SPE,66,,,,SPE,130,,252,,SPE,85,,252
,,LEVEL 44 ->>,,SPEED STAT:,,,137,,SPEED STAT:,,,55,,SPEED STAT:,,,149,,SPEED STAT:,,,80,,SPEED STAT:,,,168,,SPEED STAT:,,,126
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"SAFFRON DOJO
LEADER
CHUCK",,Hitmontop,,,,,Sneasler,,,,,Breloom,,,,,Quaquaval,,,,,Lucario,,,,,Gallade-Mega,,,
,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jolly,,,,,Jolly,,,,,Jolly,,,,,Jolly,,,,,Jolly,,,,,Jolly,,,
,,,,Technician,,,,,Poison Touch,,,,,Poison Heal,,,,,Moxie,,,,,Inner Focus,,,,,"Steadfast
Sharpness",,,
,,,,Focus Sash,,,,,Focus Sash,,,,,Toxic Orb,,,,,Mystic Water,,,,,Air Balloon,,,,,Galladite,,,
,,,,Triple Kick,,,,,Close Combat,,,,,Spore,,,,,Aqua Step,,,,,Nasty Plot,,,,,Bulk Up,,,
,,,,Triple Axel,,,,,Poison Jab,,,,,Substitute,,,,,Close Combat,,,,,Aura Sphere,,,,,Sacred Sword,,,
,,,,Fake Out,,,,,Knock Off,,,,,Focus Punch,,,,,Bulk Up,,,,,Vacuum Wave,,,,,Psycho Cut,,,
,,,,Brutal Swing,,,,,Stone Edge,,,,,Rock Slide,,,,,Ice Spinner,,,,,Flash Cannon,,,,,Night Slash,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs
,,,,HP,50,,,,HP,80,,,,HP,60,,,,HP,85,,,,HP,70,,,,HP,68,,
,,,,ATK,95,,252,,ATK,130,,252,,ATK,130,,252,,ATK,120,,252,,ATK,110,,252,,ATK,165,,252
,,,,DEF,95,,4,,DEF,60,,4,,DEF,80,,4,,DEF,80,,4,,DEF,70,,4,,DEF,95,,4
,,,,SPA,35,,,,SPA,40,,,,SPA,60,,,,SPA,85,,,,SPA,115,,,,SPA,65,,
,,,,SPD,110,,,,SPD,80,,,,SPD,60,,,,SPD,75,,,,SPD,70,,,,SPD,115,,
,,IF YOU'RE,,SPE,70,,252,,SPE,120,,252,,SPE,70,,252,,SPE,85,,252,,SPE,90,,252,,SPE,110,,252
,,LEVEL 59 ->>,,SPEED STAT:,,,151,,SPEED STAT:,,,214,,SPEED STAT:,,,151,,SPEED STAT:,,,170,,SPEED STAT:,,,177,,SPEED STAT:,,,201
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BATTLE EFFECT: PERMANENT SNOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"SEAFOAM ISL.
LEADER
PRYCE",,Jynx,,,,,Cloyster,,,,,Walrein,,,,,Baxcalibur,,,,,Arctozolt,,,,,Glalie-Mega,,,
,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Timid,,,,,Jolly,,,,,Calm,,,,,Jolly,,,,,Lonely,,,,,Jolly,,,
,,,,Dry Skin,,,,,Skill Link,,,,,Fur Coat,,,,,Thermal Exchange,,,,,Slush Rush,,,,,"Ice Body
Refrigerate",,,
,,,,Focus Sash,,,,,White Herb,,,,,Leftovers,,,,,Dragon Fang,,,,,Life Orb,,,,,Glalitite,,,
,,,,Lovely Kiss,,,,,Shell Smash,,,,,Toxic,,,,,Dragon Dance,,,,,Bolt Beak,,,,,Fake Out,,,
,,,,Psystrike,,,,,Icicle Spear,,,,,Rest,,,,,Icicle Crash,,,,,Icicle Crash,,,,,Quick Attack,,,
,,,,Freeze-Dry,,,,,Waterfall,,,,,Sleep Talk,,,,,Glaive Rush,,,,,Freeze-Dry,,,,,Earthquake,,,
,,,,Focus Blast,,,,,Rock Blast,,,,,Ice Beam,,,,,Earthquake,,,,,Low Kick,,,,,Double-Edge,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs
,,,,HP,65,,,,HP,50,,,,HP,90,,252,,HP,115,,,,HP,90,,,,HP,80,,
,,,,ATK,50,,,,ATK,95,,252,,ATK,80,,,,ATK,145,,252,,ATK,100,,252,,ATK,135,,252
,,,,DEF,50,,,,DEF,180,,,,DEF,90,,4,,DEF,92,,,,DEF,90,,,,DEF,80,,
,,,,SPA,115,,252,,SPA,85,,,,SPA,95,,,,SPA,75,,,,SPA,90,,,,SPA,105,,
,,,,SPD,95,,4,,SPD,45,,4,,SPD,90,,252,,SPD,86,,4,,SPD,80,,4,,SPD,80,,4
,,IF YOU'RE,,SPE,100,,252,,SPE,70,,252,,SPE,65,,,,SPE,87,,252,,SPE,55,,252,,SPE,100,,252
,,LEVEL 73 ->>,,SPEED STAT:,,,234,,SPEED STAT:,,,188,,SPEED STAT:,,,119,,SPEED STAT:,,,214,,SPEED STAT:,,,149,,SPEED STAT:,,,234
,,,,,,,,,,,,,,,,,,,,,,,,SLUSH RUSH:,,,298,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(!) TEAM ONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"CINNABAR LAB
LEADER
JASMINE",,Steelix,,,,,Melmetal,,,,,Duraludon,,,,,Durant,,,,,Samurott,,,,,Aggron-Mega,,,
,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Adamant,,,,,Adamant,,,,,Modest,,,,,Jolly,,,,,Jolly,,,,,Adamant,,,
,,,,Sturdy,,,,,Iron Fist,,,,,Stalwart,,,,,Hustle,,,,,Sharpness,,,,,"Rock Head
Filter",,,
,,,,Chople Berry,,,,,Leftovers,,,,,Assault Vest,,,,,Life Orb,,,,,White Herb,,,,,Aggronite,,,
,,,,Stealth Rock,,,,,Double I. Bash,,,,,Body Press,,,,,Iron Head,,,,,Shell Smash,,,,,Heavy Slam,,,
,,,,Iron Head,,,,,Earthquake,,,,,Flash Cannon,,,,,Close Combat,,,,,Cut,,,,,Earthquake,,,
,,,,Earthquake,,,,,Ice Punch,,,,,Thunderbolt,,,,,X-Scissor,,,,,Razor Shell,,,,,Fire Punch,,,
,,,,Roar,,,,,Thunder Punch,,,,,Dragon Pulse,,,,,Hone Claws,,,,,Sacred Sword,,,,,Body Press,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs
,,,,HP,75,,252,,HP,135,,252,,HP,85,,252,,HP,58,,,,HP,95,,,,HP,70,,252
,,,,ATK,85,,252,,ATK,143,,252,,ATK,95,,,,ATK,109,,252,,ATK,108,,252,,ATK,140,,252
,,,,DEF,200,,,,DEF,143,,,,DEF,115,,,,DEF,112,,,,DEF,85,,4,,DEF,230,,4
,,,,SPA,55,,,,SPA,80,,,,SPA,120,,252,,SPA,48,,,,SPA,95,,,,SPA,60,,
,,,,SPD,65,,4,,SPD,65,,4,,SPD,50,,4,,SPD,48,,4,,SPD,70,,,,SPD,80,,
,,IF YOU'RE,,SPE,30,,,,SPE,34,,,,SPE,85,,,,SPE,109,,252,,SPE,90,,252,,SPE,50,,
,,LEVEL 73 ->>,,SPEED STAT:,,,69,,SPEED STAT:,,,75,,SPEED STAT:,,,147,,SPEED STAT:,,,248,,SPEED STAT:,,,218,,SPEED STAT:,,,98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(!) TEAM TWO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"CINNABAR LAB
LEADER
JASMINE",,Bronzong,,,,,Melmetal,,,,,Magnezone,,,,,Excadrill,,,,,Samurott,,,,,Aggron-Mega,,,
,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Relaxed,,,,,Adamant,,,,,Modest,,,,,Jolly,,,,,Jolly,,,,,Adamant,,,
,,,,Levitate,,,,,Iron Fist,,,,,Magnet Pull,,,,,Mold Breaker,,,,,Sharpness,,,,,"Rock Head
Filter",,,
,,,,Leftovers,,,,,Leftovers,,,,,Magnet,,,,,Air Balloon,,,,,White Herb,,,,,Aggronite,,,
,,,,Gyro Ball,,,,,Double I. Bash,,,,,Thunderbolt,,,,,Earthquake,,,,,Shell Smash,,,,,Heavy Slam,,,
,,,,Earthquake,,,,,Earthquake,,,,,Volt Switch,,,,,Rock Slide,,,,,Cut,,,,,Earthquake,,,
,,,,Stealth Rock,,,,,Thunder Punch,,,,,Flash Cannon,,,,,Iron Head,,,,,Razor Shell,,,,,Fire Punch,,,
,,,,Explosion,,,,,Body Press,,,,,HP Fire,,,,,Swords Dance,,,,,Sacred Sword,,,,,Body Press,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs
,,,,HP,67,,252,,HP,135,,252,,HP,70,,,,HP,110,,,,HP,95,,,,HP,70,,252
,,,,ATK,89,,,,ATK,143,,252,,ATK,70,,,,ATK,135,,252,,ATK,108,,252,,ATK,140,,252
,,,,DEF,116,,252,,DEF,143,,,,DEF,115,,,,DEF,60,,,,DEF,85,,4,,DEF,230,,4
,,,,SPA,79,,,,SPA,80,,,,SPA,130,,252,,SPA,50,,,,SPA,95,,,,SPA,60,,
,,,,SPD,116,,4,,SPD,65,,4,,SPD,90,,4,,SPD,65,,4,,SPD,70,,,,SPD,80,,
,,IF YOU'RE,,SPE,33,,,,SPE,34,,,,SPE,60,,252,,SPE,88,,252,,SPE,90,,252,,SPE,50,,
,,LEVEL 73 ->>,,SPEED STAT:,,,45,,SPEED STAT:,,,75,,SPEED STAT:,,,156,,SPEED STAT:,,,215,,SPEED STAT:,,,218,,SPEED STAT:,,,98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(!) TEAM THREE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"CINNABAR LAB
LEADER
JASMINE",,Forretress,,,,,Melmetal,,,,,Magnezone,,,,,Lucario,,,,,Samurott,,,,,Aggron-Mega,,,
,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Relaxed,,,,,Adamant,,,,,Modest,,,,,Jolly,,,,,Jolly,,,,,Adamant,,,
,,,,Sturdy,,,,,Iron Fist,,,,,Magnet Pull,,,,,Inner Focus,,,,,Sharpness,,,,,"Rock Head
Filter",,,
,,,,Custap Berry,,,,,Leftovers,,,,,Magnet,,,,,Air Balloon,,,,,White Herb,,,,,Aggronite,,,
,,,,Stealth Rock,,,,,Body Press,,,,,Thunderbolt,,,,,Swords Dance,,,,,Shell Smash,,,,,Heavy Slam,,,
,,,,Earthquake,,,,,Earthquake,,,,,Volt Switch,,,,,Extreme Speed,,,,,Cut,,,,,Earthquake,,,
,,,,Gyro Ball,,,,,Double I. Bash,,,,,Flash Cannon,,,,,Close Combat,,,,,Razor Shell,,,,,Fire Punch,,,
,,,,Explosion,,,,,Thunder Punch,,,,,HP Fire,,,,,Meteor Mash,,,,,Sacred Sword,,,,,Body Press,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs
,,,,HP,75,,252,,HP,135,,252,,HP,70,,,,HP,70,,,,HP,95,,,,HP,70,,252
,,,,ATK,90,,,,ATK,143,,252,,ATK,70,,,,ATK,110,,252,,ATK,108,,252,,ATK,140,,252
,,,,DEF,140,,252,,DEF,143,,,,DEF,115,,,,DEF,70,,,,DEF,85,,4,,DEF,230,,4
,,,,SPA,60,,,,SPA,80,,,,SPA,130,,252,,SPA,115,,,,SPA,95,,,,SPA,60,,
,,,,SPD,60,,4,,SPD,65,,4,,SPD,90,,4,,SPD,70,,4,,SPD,70,,,,SPD,80,,
,,IF YOU'RE,,SPE,40,,,,SPE,34,,,,SPE,60,,252,,SPE,90,,252,,SPE,90,,252,,SPE,50,,
,,LEVEL 73 ->>,,SPEED STAT:,,,54,,SPEED STAT:,,,75,,SPEED STAT:,,,156,,SPEED STAT:,,,218,,SPEED STAT:,,,218,,SPEED STAT:,,,98
