,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"ROUTE 8
ACE TRAINER
COLE",,Yanmega,,,,,Tyrantrum,,,,,Weezing-G,,,,,Ferrothorn,,,,,Gastrodon,,,,,Centiskorch-Mega,,,
,,,,Magician,,,,,Stance Change,,,,,Sturdy,,,,,Sage Power,,,,,Natural Cure,,,,,"Guts
ORAORAORAORA!",,,
,,,,Focus Sash,,,,,Leftovers,,,,,Corner. Mask,,,,,Choice Scarf,,,,,Life Orb,,,,,Machampite,,,
,,,,Hypersp. Fury,,,,,Shadow Ball,,,,,Ivy Cudgel,,,,,Fire Blast,,,,,Nasty Plot,,,,,Pow-Up Punch,,,
,,,,Gunk Shot,,,,,King's Shield,,,,,U-Turn,,,,,HP Dark,,,,,Giga Drain,,,,,Bullet Punch,,,
,,,,Fire Punch,,,,,Shadow Sneak,,,,,Horn Leech,,,,,Focus Blast,,,,,Psychic,,,,,Ice Punch,,,
,,,,Drain Punch,,,,,Flash Cannon,,,,,Knock Off,,,,,Scorch. Sands,,,,,Earth Power,,,,,Drain Punch,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs
,,,,HP,80,,,,HP,60,,252,,HP,80,,,,HP,75,,,,HP,100,,,,HP,90,,252
,,,,ATK,160,,252,,ATK,140,,4,,ATK,120,,252,,ATK,98,,,,ATK,100,,,,ATK,145,,252
,,,,DEF,60,,4,,DEF,50,,,,DEF,84,,4,,DEF,63,,4,,DEF,100,,4,,DEF,110,,4
,,,,SPA,170,,,,SPA,140,,252,,SPA,60,,,,SPA,98,,252,,SPA,100,,252,,SPA,65,,
,,,,SPD,130,,,,SPD,50,,,,SPD,96,,,,SPD,63,,,,SPD,100,,,,SPD,115,,
,,IF YOU'RE,,SPE,80,,252,,SPE,60,,,,SPE,110,,252,,SPE,101,,252,,SPE,100,,252,,SPE,75,,
,,LEVEL 73 ->>,,SPEED STAT:,,,203,,SPEED STAT:,,,100,,SPEED STAT:,,,249,,SPEED STAT:,,,236,,SPEED STAT:,,,234,,SPEED STAT:,,,133
,,,,,,,,,,,,,,,,,,,CHOI. SCARF:,,,354,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(!) FIRST BATTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"CERULEA. CAVE
BLACK BELT
KETCHUP",,Azumarill,,,,,Gliscor,,,,,Dracozolt,,,,,Aggron-Mega,,,,,Urshifu-S,,,,,Urshifu-R,,,
,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Adamant,,,,,Adamant,,,,,Jolly,,,,,Careful,,,,,Jolly,,,,,Jolly,,,
,,,,Huge Power,,,,,Poison Heal,,,,,Hustle,,,,,"Sturdy
Filter",,,,,Unseen Fist,,,,,Unseen Fist,,,
,,,,Assault Vest,,,,,Toxic Orb,,,,,Choice Scarf,,,,,Aggronite,,,,,Choice Band,,,,,Choice Band,,,
,,,,Liquidation,,,,,Swords Dance,,,,,Bolt Beak,,,,,Curse,,,,,Wicked Blow,,,,,Surg. Strikes,,,
,,,,Aqua Jet,,,,,Earthquake,,,,,Dragon Claw,,,,,Heavy Slam,,,,,Close Combat,,,,,Aqua Jet,,,
,,,,Play Rough,,,,,Facade,,,,,Earthquake,,,,,Rest,,,,,Sucker Punch,,,,,Close Combat,,,
,,,,Superpower,,,,,Roost,,,,,Fire Fang,,,,,Sleep Talk,,,,,Poison Jab,,,,,U-Turn,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs
,,,,HP,100,,252,,HP,75,,252,,HP,90,,6,,HP,70,,252,,HP,100,,6,,HP,100,,6
,,,,ATK,50,,252,,ATK,95,,252,,ATK,100,,252,,ATK,140,,,,ATK,130,,252,,ATK,130,,252
,,,,DEF,80,,,,DEF,125,,,,DEF,90,,,,DEF,230,,4,,DEF,100,,,,DEF,100,,
,,,,SPA,60,,,,SPA,45,,,,SPA,80,,,,SPA,60,,,,SPA,63,,,,SPA,63,,
,,,,SPD,80,,,,SPD,75,,,,SPD,70,,,,SPD,80,,252,,SPD,60,,,,SPD,60,,
,,IF YOU'RE,,SPE,50,,6,,SPE,95,,6,,SPE,75,,252,,SPE,50,,,,SPE,97,,252,,SPE,97,,252
,,LEVEL 81 ->>,,SPEED STAT:,,,109,,SPEED STAT:,,,180,,SPEED STAT:,,,216,,SPEED STAT:,,,108,,SPEED STAT:,,,255,,SPEED STAT:,,,255
,,,,,,,,,,,,,,CHOI. SCARF:,,,324,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(!) REMATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"CERULEA. CAVE
BLACK BELT
KETCHUP",,Cloyster,,,,,Chandelure,,,,,Ampharos-Mega,,,,,Tapu Bulu,,,,,Urshifu-S,,,,,Urshifu-R,,,
,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jolly,,,,,Timid,,,,,Modest,,,,,Adamant,,,,,Jolly,,,,,Jolly,,,
,,,,Skill Link,,,,,Shadow Tag,,,,,"Static
Thick Fat",,,,,Grassy Surge,,,,,Unseen Fist,,,,,Unseen Fist,,,
,,,,Focus Sash,,,,,Choice Specs,,,,,Ampharosite,,,,,Assault Vest,,,,,Choice Scarf,,,,,Choice Band,,,
,,,,Shell Smash,,,,,Flamethrower,,,,,Parab. Charge,,,,,Wood Hammer,,,,,Wicked Blow,,,,,Surg. Strikes,,,
,,,,Icicle Spear,,,,,Shadow Ball,,,,,Dragon Pulse,,,,,Horn Leech,,,,,Close Combat,,,,,Aqua Jet,,,
,,,,Liquidation,,,,,Energy Ball,,,,,Focus Blast,,,,,Close Combat,,,,,U-Turn,,,,,Close Combat,,,
,,,,Explosion,,,,,Psychic,,,,,Volt Switch,,,,,Play Rough,,,,,Poison Jab,,,,,Thunder Punch,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs
,,,,HP,50,,6,,HP,60,,6,,HP,90,,252,,HP,70,,252,,HP,100,,6,,HP,100,,6
,,,,ATK,95,,252,,ATK,55,,,,ATK,95,,,,ATK,130,,252,,ATK,130,,252,,ATK,130,,252
,,,,DEF,180,,,,DEF,90,,,,DEF,105,,,,DEF,115,,,,DEF,100,,,,DEF,100,,
,,,,SPA,85,,,,SPA,145,,252,,SPA,165,,252,,SPA,85,,,,SPA,63,,,,SPA,63,,
,,,,SPD,45,,,,SPD,90,,,,SPD,110,,,,SPD,95,,,,SPD,60,,,,SPD,60,,
,,IF YOU'RE,,SPE,70,,252,,SPE,80,,252,,SPE,45,,6,,SPE,75,,6,,SPE,97,,252,,SPE,97,,252
,,LEVEL 81 ->>,,SPEED STAT:,,,207,,SPEED STAT:,,,225,,SPEED STAT:,,,101,,SPEED STAT:,,,148,,SPEED STAT:,,,255,,SPEED STAT:,,,255
,,,,,,,,,,,,,,,,,,,,,,,,CHOI. SCARF:,,,382,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"MANSION F4
BURGLAR
MAX",,Qwilfish-H,,,,,Wugtrio,,,,,Magcargo,,,,,Hydrapple,,,,,Fezandipiti,,,,,,,,
,,,,Highest Lv -4,,,,,Highest Lv -4,,,,,Highest Lv -4,,,,,Highest Lv -4,,,,,Highest Lv -4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jolly,,,,,Jolly,,,,,Timid,,,,,Modest,,,,,Timid,,,,,,,,
,,,,Intimidate,,,,,Arena Trap,,,,,Simple,,,,,Regenerator,,,,,Technician,,,,,,,,
,,,,Eviolite,,,,,Mystic Water,,,,,Focus Sash,,,,,Assault Vest,,,,,Life Orb,,,,,,,,
,,,,Toxic Spikes,,,,,Triple Dive,,,,,No Retreat,,,,,Giga Drain,,,,,Drain Kiss,,,,,,,,
,,,,Throat Chop,,,,,Earthquake,,,,,Fire Blast,,,,,Fickle Beam,,,,,Heat Wave,,,,,,,,
,,,,Liquidation,,,,,Aqua Jet,,,,,Power Gem,,,,,Body Press,,,,,Sludge Bomb,,,,,,,,
,,,,Thunder Wave,,,,,Ice Spinner,,,,,Earth Power,,,,,Earth Power,,,,,U-Turn,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,,,,
,,,,HP,65,,,,HP,35,,,,HP,60,,,,HP,106,,252,,HP,88,,,,,,,
,,,,ATK,95,,252,,ATK,115,,252,,ATK,50,,,,ATK,80,,252,,ATK,71,,,,,,,
,,,,DEF,85,,4,,DEF,50,,4,,DEF,120,,4,,DEF,110,,,,DEF,82,,4,,,,,
,,,,SPA,55,,,,SPA,35,,,,SPA,90,,252,,SPA,120,,,,SPA,91,,252,,,,,
,,,,SPD,55,,,,SPD,70,,,,SPD,80,,,,SPD,80,,4,,SPD,125,,,,,,,
,,IF YOU'RE,,SPE,85,,252,,SPE,120,,252,,SPE,30,,252,,SPE,44,,,,SPE,99,,252,,,,,
,,LEVEL 82 ->>,,SPEED STAT:,,,231,,SPEED STAT:,,,291,,SPEED STAT:,,,137,,SPEED STAT:,,,97,,SPEED STAT:,,,255,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"MANSION F4
BURGLAR
ANSON",,Shiftry,,,,,Okidogi,,,,,Munkidori,,,,,Scream Tail,,,,,Persian,,,,,,,,
,,,,Highest Lv -4,,,,,Highest Lv -4,,,,,Highest Lv -4,,,,,Highest Lv -4,,,,,Highest Lv -4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jolly,,,,,Jolly,,,,,Timid,,,,,Bold,,,,,Timid,,,,,,,,
,,,,Wind Rider,,,,,Defiant,,,,,Frisk,,,,,Protosynthesis,,,,,Feline Prowess,,,,,,,,
,,,,Focus Sash,,,,,Lum Berry,,,,,Air Balloon,,,,,Leftovers,,,,,Life Orb,,,,,,,,
,,,,Tailwind,,,,,Drain Punch,,,,,Psychic,,,,,Thunder Wave,,,,,Hyper Voice,,,,,,,,
,,,,Leaf Blade,,,,,Poison Jab,,,,,Sludge Bomb,,,,,Moonblast,,,,,Thunderbolt,,,,,,,,
,,,,Knock Off,,,,,Psychic Fangs,,,,,Nasty Plot,,,,,Teleport,,,,,Shadow Ball,,,,,,,,
,,,,Low Kick,,,,,Knock Off,,,,,Focus Blast,,,,,Psychic,,,,,U-Turn,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,,,,
,,,,HP,90,,,,HP,88,,,,HP,88,,,,HP,115,,252,,HP,65,,,,,,,
,,,,ATK,120,,252,,ATK,128,,252,,ATK,75,,,,ATK,65,,,,ATK,80,,,,,,,
,,,,DEF,60,,4,,DEF,115,,4,,DEF,66,,4,,DEF,99,,252,,DEF,60,,4,,,,,
,,,,SPA,110,,,,SPA,58,,,,SPA,130,,252,,SPA,85,,,,SPA,60,,252,,,,,
,,,,SPD,60,,,,SPD,86,,,,SPD,90,,,,SPD,115,,,,SPD,65,,,,,,,
,,IF YOU'RE,,SPE,80,,252,,SPE,80,,252,,SPE,106,,252,,SPE,111,,,,SPE,115,,252,,,,,
,,LEVEL 82 ->>,,SPEED STAT:,,,223,,SPEED STAT:,,,223,,SPEED STAT:,,,267,,SPEED STAT:,,,202,,SPEED STAT:,,,282,,,,,
